,movie_id,country_name
300,tt0207214,uk
301,tt0204714,japan
302,tt0948677,usa
303,tt1130742,greece
304,tt5082166,canada
305,tt5067182,belgium
306,tt0440532,japan
307,tt0337861,usa
308,tt3762894,singapore
309,tt1661071,usa
310,tt1248277,uk
311,tt0498599,usa
312,tt1401236,usa
313,tt3398198,usa
314,tt2896362,uk
315,tt0073794,france
316,tt0462993,france
317,tt1886677,usa
318,tt1555984,greece
319,tt0008042,usa
320,tt0449352,usa
321,tt2025613,usa
322,tt0923779,japan
323,tt1561324,usa
324,tt0113388,usa
325,tt0336429,usa
326,tt0148731,usa
327,tt3791248,"usa, uk"
328,tt2144960,south africa
329,tt6272954,australia
330,tt0134539,usa
331,tt0814339,usa
332,tt0240400,usa
333,tt0365068,usa
334,tt1745913,usa
335,tt0123765,usa
336,tt1662515,israel
337,tt2104982,portugal
338,tt2656208,uk
339,tt1621917,usa
340,tt2619516,usa
341,tt0333040,usa
342,tt0426634,usa
343,tt0089320,australia
344,tt5208834,usa
345,tt2575568,india
346,tt3502416,usa
347,tt2119390,usa
349,tt0323881,mexico
350,tt4738956,usa
351,tt1636633,usa
352,tt0007454,usa
353,tt0088074,usa
354,tt6849314,peru
355,tt0061325,"west germany, yugoslavia"
356,tt5278174,usa
357,tt2379857,usa
358,tt0887723,usa
359,tt0076857,france
360,tt1919174,belgium
361,tt0388310,usa
362,tt1180577,usa
363,tt5445282,usa
364,tt0362220,usa
365,tt0480340,philippines
366,tt1731209,uk
367,tt3816684,australia
368,tt1849047,usa
370,tt0114770,usa
371,tt0011735,italy
372,tt1013646,usa
373,tt3089952,uk
374,tt1316451,germany
375,tt5080918,usa
376,tt3184280,usa
377,tt6005230,usa
378,tt4860694,jordan
380,tt4615902,taiwan
381,tt1474453,usa
382,tt0254862,usa
384,tt0348358,uk
385,tt1472171,usa
386,tt0272777,mexico
387,tt1764340,usa
388,tt4456714,usa
389,tt5634192,usa
390,tt0058239,usa
391,tt2243235,paraguay
392,tt1129976,usa
393,tt1314294,usa
394,tt3882354,usa
395,tt1436007,usa
396,tt2928636,usa
397,tt1513715,usa
398,tt0780053,japan
399,tt0271032,romania
400,tt5030438,sri lanka
401,tt0204676,usa
402,tt2354481,usa
403,tt5279842,usa
404,tt3473294,usa
405,tt0314044,usa
406,tt1546420,usa
407,tt1513771,usa
408,tt0455643,usa
409,tt1292016,usa
410,tt1851966,usa
411,tt3982572,sweden
412,tt5686846,"china, usa"
413,tt0341018,usa
414,tt3433576,"germany, japan"
415,tt1964824,uk
416,tt0976086,usa
417,tt4562344,usa
418,tt1183370,uk
419,tt2623776,usa
420,tt1774378,uk
421,tt1619649,usa
422,tt2234263,canada
423,tt0466300,netherlands
424,tt4960774,india
425,tt0029289,usa
426,tt1541745,usa
427,tt0067487,italy
428,tt1849146,uk
429,tt1877677,usa
430,tt4518840,france
431,tt3328728,japan
432,tt0335155,france
433,tt2106521,"france, taiwan"
434,tt0122591,soviet union
435,tt2784322,usa
436,tt1227917,italy
438,tt4924358,usa
439,tt2915072,"uk, usa"
440,tt0818514,canada
441,tt1813575,nigeria
442,tt0393089,usa
443,tt3528498,"usa, finland"
444,tt0081657,"spain, france, belgium, chile"
446,tt2988544,usa
447,tt5685944,usa
448,tt5934978,usa
449,tt6321374,usa
450,tt1843855,"usa, canada"
451,tt4043792,usa
452,tt1397138,france
454,tt0928027,italy
455,tt5960022,usa
456,tt6672734,norway
457,tt6735728,usa
458,tt3313130,australia
459,tt0146350,usa
460,tt2819436,uk
461,tt0029783,uk
462,tt3662910,uk
463,tt0005976,usa
466,tt0074985,france
467,tt4507552,usa
468,tt0193113,usa
469,tt0087286,uk
470,tt2073616,usa
471,tt1834875,australia
472,tt2036448,finland
473,tt2915726,uk
474,tt1460738,japan
475,tt3499248,usa
477,tt3442702,france
478,tt1010025,usa
481,tt0160039,denmark
482,tt3435476,usa
483,tt0048303,usa
484,tt1668003,japan
485,tt0385245,usa
486,tt1549944,usa
487,tt2448852,india
488,tt0225522,canada
489,tt2739548,usa
490,tt1786573,france
491,tt2362110,usa
492,tt1670252,turkey
493,tt0395091,usa
494,tt4087558,"usa, japan"
495,tt3838488,"mexico, usa"
496,tt0835859,usa
497,tt3284162,usa
498,tt0056259,spain
499,tt0049182,france
500,tt0870091,france
502,tt2214985,usa
503,tt3476916,usa
505,tt1603315,uk
506,tt3604146,usa
507,tt0253131,usa
508,tt3133022,usa
509,tt2297108,usa
510,tt1105514,usa
511,tt2241403,uk
512,tt5214738,japan
513,tt1655461,"usa, germany"
514,tt0756639,germany
515,tt1835919,usa
516,tt1642206,usa
517,tt1690526,south africa
518,tt2996014,usa
519,tt0174275,usa
520,tt1320302,usa
521,tt3206198,uk
522,tt1409747,usa
524,tt2636650,"serbia, slovakia"
526,tt1709132,usa
527,tt3155834,usa
528,tt2499404,usa
529,tt0280046,uk
530,tt4648970,usa
531,tt0248214,usa
532,tt2584522,usa
534,tt0086505,france
535,tt4433990,india
536,tt1360803,estonia
537,tt0160374,usa
