,movie_id,awards_unclean,award_name,award_qty,extra_award_name,extra_award_qty,nomination_name,nomination_qty,extra_nomination_name,extra_nomination_qty
134031,tt0264053,4 wins.,,,unknown,4.0,,,,
134034,tt5967014,1 win.,,,unknown,1.0,,,,
134041,tt0795438,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
134051,tt5842890,4 wins & 3 nominations.,,,unknown,4.0,,,unknown,3.0
134052,tt0138602,4 wins & 1 nomination.,,,unknown,4.0,,,unknown,1.0
134063,tt0381607,1 nomination.,,,,,,,unknown,1.0
134084,tt2739012,1 win.,,,unknown,1.0,,,,
134089,tt0229069,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
134118,tt4466242,3 wins & 5 nominations.,,,unknown,3.0,,,unknown,5.0
134126,tt1456968,2 wins.,,,unknown,2.0,,,,
134166,tt0455490,3 wins.,,,unknown,3.0,,,,
134184,tt0362015,1 nomination.,,,,,,,unknown,1.0
134210,tt1406161,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
134212,tt2853572,2 wins & 1 nomination.,,,unknown,2.0,,,unknown,1.0
134214,tt2724790,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
134230,tt6343502,3 wins & 3 nominations.,,,unknown,3.0,,,unknown,3.0
134237,tt0093978,11 wins & 14 nominations.,,,unknown,11.0,,,unknown,14.0
134240,tt0205983,1 nomination.,,,,,,,unknown,1.0
134246,tt0082813,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
134250,tt0270095,6 wins & 3 nominations.,,,unknown,6.0,,,unknown,3.0
134257,tt0087232,2 wins & 1 nomination.,,,unknown,2.0,,,unknown,1.0
134266,tt0144778,1 win.,,,unknown,1.0,,,,
134267,tt2710942,4 nominations.,,,,,,,unknown,4.0
134282,tt0192069,2 wins & 1 nomination.,,,unknown,2.0,,,unknown,1.0
134289,tt2437852,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
134296,tt0119692,3 wins.,,,unknown,3.0,,,,
134305,tt0040763,won 1 oscar. another 1 win & 1 nomination.,oscar,1.0,unknown,1.0,,,unknown,1.0
134329,tt3628584,1 win & 3 nominations.,,,unknown,1.0,,,unknown,3.0
134346,tt0205249,2 wins.,,,unknown,2.0,,,,
134355,tt2069948,2 wins.,,,unknown,2.0,,,,
134361,tt0796307,3 wins & 2 nominations.,,,unknown,3.0,,,unknown,2.0
134379,tt0225819,1 win.,,,unknown,1.0,,,,
134381,tt1513913,2 wins.,,,unknown,2.0,,,,
134385,tt3603164,1 win.,,,unknown,1.0,,,,
134392,tt4433962,1 nomination.,,,,,,,unknown,1.0
134409,tt2524568,2 wins & 1 nomination.,,,unknown,2.0,,,unknown,1.0
134418,tt2072134,5 wins.,,,unknown,5.0,,,,
134426,tt3343046,1 nomination.,,,,,,,unknown,1.0
134431,tt1206345,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
134456,tt0213446,4 wins.,,,unknown,4.0,,,,
134471,tt1833104,1 nomination.,,,,,,,unknown,1.0
134481,tt0343996,2 wins & 3 nominations.,,,unknown,2.0,,,unknown,3.0
134486,tt1702437,3 nominations.,,,,,,,unknown,3.0
134501,tt1811315,1 nomination.,,,,,,,unknown,1.0
134520,tt0115630,2 wins.,,,unknown,2.0,,,,
134532,tt3511542,1 win & 13 nominations.,,,unknown,1.0,,,unknown,13.0
134546,tt0167976,1 nomination.,,,,,,,unknown,1.0
134558,tt0995054,3 wins.,,,unknown,3.0,,,,
134562,tt2896784,2 wins & 3 nominations.,,,unknown,2.0,,,unknown,3.0
134567,tt0297387,4 wins & 1 nomination.,,,unknown,4.0,,,unknown,1.0
134607,tt4702664,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
134612,tt1090701,2 wins & 2 nominations.,,,unknown,2.0,,,unknown,2.0
