,movie_id,awards_unclean,award_name,award_qty,extra_award_name,extra_award_qty,nomination_name,nomination_qty,extra_nomination_name,extra_nomination_qty
15,tt2554714,1 win.,,,unknown,1.0,,,,
21,tt0206367,1 nomination.,,,,,,,unknown,1.0
27,tt1242851,1 nomination.,,,,,,,unknown,1.0
48,tt1080813,4 wins & 5 nominations.,,,unknown,4.0,,,unknown,5.0
56,tt1621642,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
66,tt0481637,1 win.,,,unknown,1.0,,,,
81,tt2140619,1 nomination.,,,,,,,unknown,1.0
106,tt3289518,1 win & 3 nominations.,,,unknown,1.0,,,unknown,3.0
110,tt5440594,2 wins.,,,unknown,2.0,,,,
133,tt2963338,1 nomination.,,,,,,,unknown,1.0
140,tt3136458,3 nominations.,,,,,,,unknown,3.0
158,tt5869620,2 wins & 8 nominations.,,,unknown,2.0,,,unknown,8.0
178,tt0094134,1 win.,,,unknown,1.0,,,,
191,tt1305027,3 wins & 1 nomination.,,,unknown,3.0,,,unknown,1.0
240,tt0818671,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
253,tt1776196,4 wins & 5 nominations.,,,unknown,4.0,,,unknown,5.0
256,tt4457824,1 nomination.,,,,,,,unknown,1.0
259,tt0333235,2 wins.,,,unknown,2.0,,,,
267,tt0128800,1 win.,,,unknown,1.0,,,,
272,tt0053867,3 wins & 2 nominations.,,,unknown,3.0,,,unknown,2.0
274,tt4970038,1 nomination.,,,,,,,unknown,1.0
275,tt0346651,1 nomination.,,,,,,,unknown,1.0
277,tt3908390,3 wins & 1 nomination.,,,unknown,3.0,,,unknown,1.0
281,tt0980999,3 wins & 6 nominations.,,,unknown,3.0,,,unknown,6.0
286,tt3540754,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
289,tt1621427,1 win.,,,unknown,1.0,,,,
293,tt3524782,1 win.,,,unknown,1.0,,,,
308,tt3762894,1 nomination.,,,,,,,unknown,1.0
312,tt1401236,1 win.,,,unknown,1.0,,,,
321,tt2025613,1 win.,,,unknown,1.0,,,,
328,tt2144960,1 win.,,,unknown,1.0,,,,
337,tt2104982,1 nomination.,,,,,,,unknown,1.0
345,tt2575568,1 nomination.,,,,,,,unknown,1.0
353,tt0088074,1 win.,,,unknown,1.0,,,,
355,tt0061325,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
360,tt1919174,4 wins & 4 nominations.,,,unknown,4.0,,,unknown,4.0
378,tt4860694,3 nominations.,,,,,,,unknown,3.0
380,tt4615902,1 win & 4 nominations.,,,unknown,1.0,,,unknown,4.0
399,tt0271032,1 win.,,,unknown,1.0,,,,
401,tt0204676,1 win.,,,unknown,1.0,,,,
403,tt5279842,1 nomination.,,,,,,,unknown,1.0
406,tt1546420,1 win.,,,unknown,1.0,,,,
418,tt1183370,1 nomination.,,,,,,,unknown,1.0
434,tt0122591,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
460,tt2819436,nominated for 1 bafta film award. another 1 nomination.,,,,,bafta,1.0,unknown,1.0
492,tt1670252,5 wins & 1 nomination.,,,unknown,5.0,,,unknown,1.0
514,tt0756639,16 wins & 3 nominations.,,,unknown,16.0,,,unknown,3.0
520,tt1320302,1 nomination.,,,,,,,unknown,1.0
544,tt0126359,1 nomination.,,,,,,,unknown,1.0
546,tt0188757,2 nominations.,,,,,,,unknown,2.0
563,tt0120005,1 win.,,,unknown,1.0,,,,
582,tt1645089,won 1 oscar. another 7 wins & 26 nominations.,oscar,1.0,unknown,7.0,,,unknown,26.0
597,tt3563662,2 wins & 1 nomination.,,,unknown,2.0,,,unknown,1.0
601,tt0313685,2 nominations.,,,,,,,unknown,2.0
607,tt2144820,3 wins & 1 nomination.,,,unknown,3.0,,,unknown,1.0
612,tt0366900,2 nominations.,,,,,,,unknown,2.0
638,tt0273539,1 nomination.,,,,,,,unknown,1.0
650,tt1137437,1 win.,,,unknown,1.0,,,,
664,tt1841564,1 win.,,,unknown,1.0,,,,
685,tt0449660,1 win.,,,unknown,1.0,,,,
707,tt0247900,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
708,tt3620844,1 nomination.,,,,,,,unknown,1.0
748,tt0091149,1 win & 3 nominations.,,,unknown,1.0,,,unknown,3.0
773,tt0832886,2 nominations.,,,,,,,unknown,2.0
781,tt0015498,1 win.,,,unknown,1.0,,,,
788,tt1245891,2 nominations.,,,,,,,unknown,2.0
794,tt0408832,1 nomination.,,,,,,,unknown,1.0
795,tt0064507,2 wins & 5 nominations.,,,unknown,2.0,,,unknown,5.0
811,tt3469964,19 wins & 15 nominations.,,,unknown,19.0,,,unknown,15.0
828,tt3288042,1 win.,,,unknown,1.0,,,,
833,tt3832912,2 nominations.,,,,,,,unknown,2.0
834,tt2002714,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
854,tt4425402,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
873,tt4690052,2 wins & 1 nomination.,,,unknown,2.0,,,unknown,1.0
875,tt4692234,18 wins & 24 nominations.,,,unknown,18.0,,,unknown,24.0
888,tt0381389,2 wins.,,,unknown,2.0,,,,
898,tt0127925,2 wins.,,,unknown,2.0,,,,
927,tt2780714,1 win.,,,unknown,1.0,,,,
938,tt0335345,nominated for 3 oscars. another 28 wins & 21 nominations.,,,unknown,28.0,oscar,3.0,unknown,21.0
953,tt3026476,1 nomination.,,,,,,,unknown,1.0
956,tt2058631,1 nomination.,,,,,,,unknown,1.0
965,tt3415554,3 nominations.,,,,,,,unknown,3.0
967,tt0452623,nominated for 1 oscar. another 34 wins & 29 nominations.,,,unknown,34.0,oscar,1.0,unknown,29.0
992,tt0091983,nominated for 3 golden globes. another 2 wins & 3 nominations.,,,unknown,2.0,golden globe,3.0,unknown,3.0
1022,tt5376074,1 nomination.,,,,,,,unknown,1.0
1036,tt0226195,1 win.,,,unknown,1.0,,,,
1039,tt0106514,1 nomination.,,,,,,,unknown,1.0
1050,tt0110603,1 nomination.,,,,,,,unknown,1.0
1055,tt0945556,1 win.,,,unknown,1.0,,,,
1058,tt1422032,21 wins & 16 nominations.,,,unknown,21.0,,,unknown,16.0
1095,tt2169662,1 nomination.,,,,,,,unknown,1.0
1103,tt3344694,1 win.,,,unknown,1.0,,,,
1124,tt3845686,2 wins.,,,unknown,2.0,,,,
1130,tt0072843,3 wins & 2 nominations.,,,unknown,3.0,,,unknown,2.0
1170,tt2732092,1 win & 3 nominations.,,,unknown,1.0,,,unknown,3.0
1179,tt1177164,2 nominations.,,,,,,,unknown,2.0
1181,tt0063149,1 win.,,,unknown,1.0,,,,
1186,tt0206038,nominated for 1 bafta film award. another 1 win.,,,unknown,1.0,bafta,1.0,,
1232,tt0075098,1 nomination.,,,,,,,unknown,1.0
1239,tt0039922,1 nomination.,,,,,,,unknown,1.0
1241,tt1080695,3 wins & 9 nominations.,,,unknown,3.0,,,unknown,9.0
1250,tt1175495,2 nominations.,,,,,,,unknown,2.0
1251,tt2396350,8 wins & 1 nomination.,,,unknown,8.0,,,unknown,1.0
1255,tt1316073,1 win.,,,unknown,1.0,,,,
1262,tt0055232,1 win.,,,unknown,1.0,,,,
1266,tt2006194,1 nomination.,,,,,,,unknown,1.0
1271,tt7230850,1 win & 3 nominations.,,,unknown,1.0,,,unknown,3.0
1276,tt1326249,3 wins.,,,unknown,3.0,,,,
1278,tt0097126,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
1309,tt0264150,1 nomination.,,,,,,,unknown,1.0
1314,tt2372213,nominated for 1 oscar. another 8 wins & 7 nominations.,,,unknown,8.0,oscar,1.0,unknown,7.0
1318,tt0493172,1 win.,,,unknown,1.0,,,,
1333,tt2723180,2 wins & 3 nominations.,,,unknown,2.0,,,unknown,3.0
1340,tt1100119,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
1349,tt2735168,1 win.,,,unknown,1.0,,,,
1361,tt1855256,3 nominations.,,,,,,,unknown,3.0
1367,tt1095496,6 wins & 3 nominations.,,,unknown,6.0,,,unknown,3.0
1368,tt0162909,16 wins & 10 nominations.,,,unknown,16.0,,,unknown,10.0
1371,tt0274213,1 nomination.,,,,,,,unknown,1.0
1372,tt0111329,2 wins.,,,unknown,2.0,,,,
1397,tt3489078,1 nomination.,,,,,,,unknown,1.0
1408,tt0082614,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
1411,tt2599786,2 wins & 2 nominations.,,,unknown,2.0,,,unknown,2.0
1439,tt4065842,8 nominations.,,,,,,,unknown,8.0
1450,tt0210567,2 nominations.,,,,,,,unknown,2.0
1460,tt0297876,2 wins.,,,unknown,2.0,,,,
1498,tt3512680,1 nomination.,,,,,,,unknown,1.0
1509,tt0255419,2 wins.,,,unknown,2.0,,,,
1511,tt0391756,1 win.,,,unknown,1.0,,,,
1535,tt4191768,2 nominations.,,,,,,,unknown,2.0
1543,tt0268528,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
1579,tt1992280,1 win.,,,unknown,1.0,,,,
1580,tt0116442,3 nominations.,,,,,,,unknown,3.0
1593,tt0061512,won 1 oscar. another 3 wins & 9 nominations.,oscar,1.0,unknown,3.0,,,unknown,9.0
1594,tt0087433,5 wins & 1 nomination.,,,unknown,5.0,,,unknown,1.0
1600,tt0116483,1 win & 4 nominations.,,,unknown,1.0,,,unknown,4.0
1604,tt0178451,1 win.,,,unknown,1.0,,,,
1618,tt0180626,1 nomination.,,,,,,,unknown,1.0
1634,tt0077287,1 win.,,,unknown,1.0,,,,
1657,tt0271679,2 wins & 2 nominations.,,,unknown,2.0,,,unknown,2.0
1660,tt1219801,6 wins & 1 nomination.,,,unknown,6.0,,,unknown,1.0
1665,tt0193229,3 wins.,,,unknown,3.0,,,,
1674,tt0035130,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
1676,tt0382217,3 wins.,,,unknown,3.0,,,,
1677,tt1490557,3 wins.,,,unknown,3.0,,,,
1678,tt0846672,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
1684,tt0428554,1 win.,,,unknown,1.0,,,,
1694,tt0332618,2 wins & 1 nomination.,,,unknown,2.0,,,unknown,1.0
1696,tt0172341,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
1697,tt1399198,4 wins & 1 nomination.,,,unknown,4.0,,,unknown,1.0
1714,tt2549996,1 nomination.,,,,,,,unknown,1.0
1717,tt1802504,4 wins.,,,unknown,4.0,,,,
1720,tt1989542,1 win.,,,unknown,1.0,,,,
1721,tt0415739,4 wins.,,,unknown,4.0,,,,
1754,tt0176940,2 wins & 2 nominations.,,,unknown,2.0,,,unknown,2.0
1767,tt2916416,4 nominations.,,,,,,,unknown,4.0
1770,tt0120586,nominated for 1 oscar. another 4 wins & 13 nominations.,,,unknown,4.0,oscar,1.0,unknown,13.0
1794,tt0869152,3 nominations.,,,,,,,unknown,3.0
1796,tt5891588,2 wins & 1 nomination.,,,unknown,2.0,,,unknown,1.0
1811,tt0060653,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
1817,tt0185560,3 nominations.,,,,,,,unknown,3.0
1818,tt0150545,2 wins.,,,unknown,2.0,,,,
1834,tt0263458,2 wins.,,,unknown,2.0,,,,
1838,tt0339343,2 nominations.,,,,,,,unknown,2.0
1839,tt4491640,1 nomination.,,,,,,,unknown,1.0
1840,tt1808454,18 wins & 10 nominations.,,,unknown,18.0,,,unknown,10.0
1865,tt0093437,3 wins & 5 nominations.,,,unknown,3.0,,,unknown,5.0
1879,tt0468753,9 nominations.,,,,,,,unknown,9.0
1901,tt2437548,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
1902,tt3169710,1 nomination.,,,,,,,unknown,1.0
1904,tt2731398,2 wins.,,,unknown,2.0,,,,
1910,tt0111806,won 1 primetime emmy. another 1 win & 1 nomination.,primetime emmy,1.0,unknown,1.0,,,unknown,1.0
1914,tt0251070,nominated for 2 primetime emmys. another 2 wins & 2 nominations.,,,unknown,2.0,primetime emmy,2.0,unknown,2.0
1915,tt0393163,1 win.,,,unknown,1.0,,,,
1926,tt0763852,1 win.,,,unknown,1.0,,,,
1935,tt2806162,1 nomination.,,,,,,,unknown,1.0
1941,tt0839938,6 wins & 5 nominations.,,,unknown,6.0,,,unknown,5.0
1942,tt1576382,1 win & 16 nominations.,,,unknown,1.0,,,unknown,16.0
1967,tt2137286,1 win & 4 nominations.,,,unknown,1.0,,,unknown,4.0
1974,tt2387132,2 nominations.,,,,,,,unknown,2.0
1994,tt0912586,1 nomination.,,,,,,,unknown,1.0
2004,tt0424261,3 wins & 1 nomination.,,,unknown,3.0,,,unknown,1.0
2005,tt0436039,3 wins & 2 nominations.,,,unknown,3.0,,,unknown,2.0
2008,tt2501698,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
2010,tt3838818,1 nomination.,,,,,,,unknown,1.0
2012,tt0470532,6 wins & 2 nominations.,,,unknown,6.0,,,unknown,2.0
2016,tt0048316,won 3 oscars. another 2 wins & 6 nominations.,oscar,3.0,unknown,2.0,,,unknown,6.0
2019,tt0061810,2 nominations.,,,,,,,unknown,2.0
2021,tt1034314,4 wins & 2 nominations.,,,unknown,4.0,,,unknown,2.0
2023,tt0471160,5 wins.,,,unknown,5.0,,,,
2037,tt0073454,won 1 primetime emmy. another 3 nominations.,primetime emmy,1.0,,,,,unknown,3.0
2041,tt3527510,3 wins & 1 nomination.,,,unknown,3.0,,,unknown,1.0
2056,tt1460639,1 win.,,,unknown,1.0,,,,
2058,tt0180545,3 wins & 3 nominations.,,,unknown,3.0,,,unknown,3.0
2062,tt6786550,2 nominations.,,,,,,,unknown,2.0
2076,tt0098369,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
2079,tt0174666,won 1 primetime emmy. another 2 wins & 3 nominations.,primetime emmy,1.0,unknown,2.0,,,unknown,3.0
2090,tt0323177,2 nominations.,,,,,,,unknown,2.0
2094,tt4171982,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
2096,tt4040042,1 win.,,,unknown,1.0,,,,
2140,tt0449503,1 win.,,,unknown,1.0,,,,
2156,tt5711632,1 win.,,,unknown,1.0,,,,
2158,tt0808146,1 nomination.,,,,,,,unknown,1.0
2187,tt0937231,2 nominations.,,,,,,,unknown,2.0
2204,tt0192117,1 win.,,,unknown,1.0,,,,
2210,tt4196450,4 wins & 26 nominations.,,,unknown,4.0,,,unknown,26.0
2215,tt3725224,1 nomination.,,,,,,,unknown,1.0
2216,tt0263205,1 nomination.,,,,,,,unknown,1.0
2222,tt5496434,1 nomination.,,,,,,,unknown,1.0
2230,tt0205889,1 win.,,,unknown,1.0,,,,
2235,tt0224232,2 wins.,,,unknown,2.0,,,,
2244,tt0974515,1 win.,,,unknown,1.0,,,,
2248,tt0257288,1 nomination.,,,,,,,unknown,1.0
2250,tt0063718,1 win.,,,unknown,1.0,,,,
2264,tt1417101,1 nomination.,,,,,,,unknown,1.0
2276,tt0966562,1 nomination.,,,,,,,unknown,1.0
2280,tt0388204,1 nomination.,,,,,,,unknown,1.0
2287,tt0041460,1 nomination.,,,,,,,unknown,1.0
2288,tt4433644,2 nominations.,,,,,,,unknown,2.0
2301,tt0042265,won 1 bafta film award. another 1 nomination.,bafta,1.0,,,,,unknown,1.0
2308,tt0074442,1 win.,,,unknown,1.0,,,,
2313,tt0843850,1 win.,,,unknown,1.0,,,,
2330,tt5427450,1 nomination.,,,,,,,unknown,1.0
2341,tt0075364,1 win & 5 nominations.,,,unknown,1.0,,,unknown,5.0
2348,tt0102025,2 wins & 2 nominations.,,,unknown,2.0,,,unknown,2.0
2350,tt1274610,2 wins & 1 nomination.,,,unknown,2.0,,,unknown,1.0
2362,tt0274160,1 nomination.,,,,,,,unknown,1.0
2375,tt0116693,3 wins.,,,unknown,3.0,,,,
2384,tt1637679,4 wins & 1 nomination.,,,unknown,4.0,,,unknown,1.0
2440,tt2302551,5 wins & 5 nominations.,,,unknown,5.0,,,unknown,5.0
2448,tt2036431,1 nomination.,,,,,,,unknown,1.0
2453,tt0097013,1 win.,,,unknown,1.0,,,,
2455,tt3675868,1 nomination.,,,,,,,unknown,1.0
2480,tt1543714,1 win.,,,unknown,1.0,,,,
2484,tt0256160,2 wins.,,,unknown,2.0,,,,
2497,tt0038396,1 nomination.,,,,,,,unknown,1.0
2502,tt5146450,1 win.,,,unknown,1.0,,,,
2518,tt2100427,1 win.,,,unknown,1.0,,,,
2525,tt1794725,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
2534,tt0121798,1 nomination.,,,,,,,unknown,1.0
2537,tt1934269,2 wins & 3 nominations.,,,unknown,2.0,,,unknown,3.0
2547,tt3263790,1 win & 4 nominations.,,,unknown,1.0,,,unknown,4.0
2548,tt0391869,1 nomination.,,,,,,,unknown,1.0
2556,tt1014771,1 win & 4 nominations.,,,unknown,1.0,,,unknown,4.0
2557,tt2099797,1 nomination.,,,,,,,unknown,1.0
2579,tt3709992,1 win.,,,unknown,1.0,,,,
2587,tt0959564,2 wins.,,,unknown,2.0,,,,
2599,tt0186310,2 wins & 2 nominations.,,,unknown,2.0,,,unknown,2.0
2614,tt2455972,2 nominations.,,,,,,,unknown,2.0
2620,tt0403692,1 nomination.,,,,,,,unknown,1.0
2626,tt0132995,2 wins.,,,unknown,2.0,,,,
2648,tt3284626,3 wins & 5 nominations.,,,unknown,3.0,,,unknown,5.0
2657,tt0158831,2 wins.,,,unknown,2.0,,,,
2668,tt0101557,1 win.,,,unknown,1.0,,,,
2683,tt0115509,2 nominations.,,,,,,,unknown,2.0
2687,tt2246769,2 nominations.,,,,,,,unknown,2.0
2688,tt0489410,2 wins.,,,unknown,2.0,,,,
2701,tt3788154,1 nomination.,,,,,,,unknown,1.0
2704,tt0283956,1 win.,,,unknown,1.0,,,,
2705,tt0230745,1 nomination.,,,,,,,unknown,1.0
2709,tt0403020,1 win & 3 nominations.,,,unknown,1.0,,,unknown,3.0
2711,tt0874306,2 nominations.,,,,,,,unknown,2.0
2747,tt0063356,nominated for 1 bafta film award. another 1 win.,,,unknown,1.0,bafta,1.0,,
2750,tt1625562,1 win.,,,unknown,1.0,,,,
2759,tt7599050,2 wins & 2 nominations.,,,unknown,2.0,,,unknown,2.0
2760,tt0244692,1 win.,,,unknown,1.0,,,,
2764,tt0334551,6 wins & 1 nomination.,,,unknown,6.0,,,unknown,1.0
2772,tt1921112,1 nomination.,,,,,,,unknown,1.0
2804,tt0054443,2 nominations.,,,,,,,unknown,2.0
2825,tt0325665,1 win.,,,unknown,1.0,,,,
2827,tt0178704,1 win.,,,unknown,1.0,,,,
2838,tt0347471,1 nomination.,,,,,,,unknown,1.0
2844,tt1485145,1 win.,,,unknown,1.0,,,,
2852,tt2379442,3 wins & 2 nominations.,,,unknown,3.0,,,unknown,2.0
2861,tt0395980,1 win.,,,unknown,1.0,,,,
2872,tt0085533,1 win & 4 nominations.,,,unknown,1.0,,,unknown,4.0
2884,tt5217942,1 nomination.,,,,,,,unknown,1.0
2897,tt6509480,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
2903,tt7390536,1 win.,,,unknown,1.0,,,,
2957,tt0471788,1 nomination.,,,,,,,unknown,1.0
2978,tt3092790,7 wins & 10 nominations.,,,unknown,7.0,,,unknown,10.0
2980,tt2523426,2 wins.,,,unknown,2.0,,,,
2997,tt3534542,won 1 primetime emmy. another 6 nominations.,primetime emmy,1.0,,,,,unknown,6.0
3002,tt1988584,5 wins & 1 nomination.,,,unknown,5.0,,,unknown,1.0
3018,tt1869752,2 wins & 2 nominations.,,,unknown,2.0,,,unknown,2.0
3031,tt2277944,1 win.,,,unknown,1.0,,,,
3040,tt0363547,1 win & 17 nominations.,,,unknown,1.0,,,unknown,17.0
3073,tt0387425,1 nomination.,,,,,,,unknown,1.0
3076,tt4511704,1 win.,,,unknown,1.0,,,,
3078,tt0439884,6 wins & 12 nominations.,,,unknown,6.0,,,unknown,12.0
3093,tt0139497,1 win.,,,unknown,1.0,,,,
3095,tt0156945,1 win.,,,unknown,1.0,,,,
3105,tt0211465,2 nominations.,,,,,,,unknown,2.0
3114,tt4949744,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
3117,tt1054105,1 nomination.,,,,,,,unknown,1.0
3119,tt1600197,3 wins.,,,unknown,3.0,,,,
3143,tt0426578,nominated for 1 oscar. another 22 wins & 12 nominations.,,,unknown,22.0,oscar,1.0,unknown,12.0
3151,tt0277327,1 win.,,,unknown,1.0,,,,
3153,tt1213574,won 2 primetime emmys. another 1 win & 3 nominations.,primetime emmy,2.0,unknown,1.0,,,unknown,3.0
3190,tt5375134,1 nomination.,,,,,,,unknown,1.0
3194,tt0379577,8 wins & 3 nominations.,,,unknown,8.0,,,unknown,3.0
3197,tt2244728,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
3232,tt1230534,1 nomination.,,,,,,,unknown,1.0
3246,tt0794288,2 nominations.,,,,,,,unknown,2.0
3251,tt0261071,2 nominations.,,,,,,,unknown,2.0
3253,tt0338367,1 nomination.,,,,,,,unknown,1.0
3261,tt1998204,8 wins & 8 nominations.,,,unknown,8.0,,,unknown,8.0
3278,tt0319006,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
3280,tt1092601,1 win.,,,unknown,1.0,,,,
3286,tt0115872,2 nominations.,,,,,,,unknown,2.0
3307,tt1561347,2 wins.,,,unknown,2.0,,,,
3315,tt1934260,1 nomination.,,,,,,,unknown,1.0
3320,tt1733710,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
3330,tt4196078,2 wins.,,,unknown,2.0,,,,
3332,tt1920862,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
3333,tt0357119,1 win & 3 nominations.,,,unknown,1.0,,,unknown,3.0
3338,tt1407972,3 wins & 7 nominations.,,,unknown,3.0,,,unknown,7.0
3340,tt1160015,1 win.,,,unknown,1.0,,,,
3366,tt0131340,2 nominations.,,,,,,,unknown,2.0
3380,tt0034522,won 1 oscar. another 2 nominations.,oscar,1.0,,,,,unknown,2.0
3393,tt2401813,14 wins & 1 nomination.,,,unknown,14.0,,,unknown,1.0
3394,tt0245435,2 wins.,,,unknown,2.0,,,,
3399,tt0285494,1 win.,,,unknown,1.0,,,,
3402,tt6035500,5 wins & 2 nominations.,,,unknown,5.0,,,unknown,2.0
3410,tt0493148,1 win.,,,unknown,1.0,,,,
3418,tt1586724,4 wins & 3 nominations.,,,unknown,4.0,,,unknown,3.0
3438,tt0030018,won 1 oscar. another 2 nominations.,oscar,1.0,,,,,unknown,2.0
3444,tt1911600,3 wins & 8 nominations.,,,unknown,3.0,,,unknown,8.0
3451,tt1513067,1 win.,,,unknown,1.0,,,,
3459,tt0059946,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
3464,tt1316603,4 wins.,,,unknown,4.0,,,,
3468,tt3572794,1 nomination.,,,,,,,unknown,1.0
3480,tt1523979,4 wins.,,,unknown,4.0,,,,
3494,tt3530908,1 nomination.,,,,,,,unknown,1.0
3529,tt4721908,1 win.,,,unknown,1.0,,,,
3535,tt0084745,1 nomination.,,,,,,,unknown,1.0
3540,tt2199397,1 nomination.,,,,,,,unknown,1.0
3545,tt1686090,1 nomination.,,,,,,,unknown,1.0
3552,tt3464420,7 wins & 1 nomination.,,,unknown,7.0,,,unknown,1.0
3576,tt0062947,2 nominations.,,,,,,,unknown,2.0
3581,tt3862156,2 wins.,,,unknown,2.0,,,,
3583,tt0814683,1 win.,,,unknown,1.0,,,,
3588,tt0192362,4 wins & 1 nomination.,,,unknown,4.0,,,unknown,1.0
3592,tt1535557,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
3593,tt0453074,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
3606,tt0865297,18 wins & 24 nominations.,,,unknown,18.0,,,unknown,24.0
3633,tt1854524,2 wins.,,,unknown,2.0,,,,
3638,tt4593108,12 wins & 8 nominations.,,,unknown,12.0,,,unknown,8.0
3642,tt3810158,3 wins.,,,unknown,3.0,,,,
3646,tt0491747,nominated for 2 oscars. another 62 wins & 38 nominations.,,,unknown,62.0,oscar,2.0,unknown,38.0
3648,tt2008006,32 wins & 24 nominations.,,,unknown,32.0,,,unknown,24.0
3651,tt0087795,1 win.,,,unknown,1.0,,,,
3660,tt0446663,5 wins & 1 nomination.,,,unknown,5.0,,,unknown,1.0
3678,tt3086386,1 win.,,,unknown,1.0,,,,
3679,tt3103576,2 nominations.,,,,,,,unknown,2.0
3681,tt2634394,2 wins.,,,unknown,2.0,,,,
3689,tt1197624,3 wins & 5 nominations.,,,unknown,3.0,,,unknown,5.0
3699,tt0119391,1 win & 3 nominations.,,,unknown,1.0,,,unknown,3.0
3716,tt1527788,15 wins & 15 nominations.,,,unknown,15.0,,,unknown,15.0
3727,tt6663662,3 wins & 1 nomination.,,,unknown,3.0,,,unknown,1.0
3739,tt0091757,nominated for 1 oscar. another 2 wins & 1 nomination.,,,unknown,2.0,oscar,1.0,unknown,1.0
3741,tt6850078,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
3752,tt2607702,2 nominations.,,,,,,,unknown,2.0
3758,tt0171587,2 wins.,,,unknown,2.0,,,,
3760,tt0142436,1 nomination.,,,,,,,unknown,1.0
3768,tt5472794,1 win.,,,unknown,1.0,,,,
3770,tt2361407,1 nomination.,,,,,,,unknown,1.0
3780,tt1699513,1 win & 4 nominations.,,,unknown,1.0,,,unknown,4.0
3782,tt3574904,6 nominations.,,,,,,,unknown,6.0
3783,tt2380309,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
3800,tt0016220,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
3802,tt1177926,1 win.,,,unknown,1.0,,,,
3804,tt0110492,1 nomination.,,,,,,,unknown,1.0
3810,tt0989759,3 wins.,,,unknown,3.0,,,,
3812,tt1391787,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
3817,tt6098794,12 nominations.,,,,,,,unknown,12.0
3824,tt0454907,2 wins.,,,unknown,2.0,,,,
3829,tt1735488,1 win.,,,unknown,1.0,,,,
3847,tt2137007,1 win.,,,unknown,1.0,,,,
3850,tt0374916,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
3851,tt4259872,1 nomination.,,,,,,,unknown,1.0
3861,tt0209279,1 win.,,,unknown,1.0,,,,
3874,tt1248882,1 nomination.,,,,,,,unknown,1.0
3883,tt0119223,1 win & 3 nominations.,,,unknown,1.0,,,unknown,3.0
3886,tt0151479,7 wins & 1 nomination.,,,unknown,7.0,,,unknown,1.0
3890,tt2708954,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
3894,tt0829156,1 nomination.,,,,,,,unknown,1.0
3904,tt1924410,1 nomination.,,,,,,,unknown,1.0
3912,tt1032747,3 wins.,,,unknown,3.0,,,,
3913,tt0103303,1 nomination.,,,,,,,unknown,1.0
3915,tt0246995,3 wins.,,,unknown,3.0,,,,
3924,tt0094169,1 win & 10 nominations.,,,unknown,1.0,,,unknown,10.0
3948,tt1741273,1 win & 3 nominations.,,,unknown,1.0,,,unknown,3.0
3949,tt0803028,1 win.,,,unknown,1.0,,,,
3954,tt0116817,2 nominations.,,,,,,,unknown,2.0
3955,tt3749730,1 nomination.,,,,,,,unknown,1.0
4026,tt0050654,1 nomination.,,,,,,,unknown,1.0
4027,tt0276077,5 wins.,,,unknown,5.0,,,,
4035,tt0495025,1 win.,,,unknown,1.0,,,,
4048,tt2217458,8 wins & 11 nominations.,,,unknown,8.0,,,unknown,11.0
4050,tt0247818,won 1 bafta film award. another 1 win & 1 nomination.,bafta,1.0,unknown,1.0,,,unknown,1.0
4051,tt1603793,4 wins & 16 nominations.,,,unknown,4.0,,,unknown,16.0
