,movie_id,writer_name,writer_role
170,tt1655461,claudia myers,screenplay by
171,tt1655461,gary kanew,screenplay by
172,tt1655461,gary kanew,story by
173,tt1835919,ej caillouet,creator
174,tt1835919,brandon johnson,developer
175,tt1835919,mat koehler,developer
176,tt0174275,sidney smith,cartoon
177,tt1709132,chris jones,story
178,tt1709132,sarah lapenna,story
179,tt1709132,matt onheiber,story
180,tt0017013,gerald beaumont,story
181,tt0017013,paul schofield,scenario
182,tt0017013,george marion jr.,titles
183,tt0097893,michel boujut,novel
184,tt0016073,i.a.r. wylie,novel
185,tt2081152,fred karno,sketch
186,tt6516552,luuk bouwman,scenario
187,tt1674225,maurice sendak,libretto
188,tt0120005,kenneth grahame,book
189,tt0018887,john mcdermott,story
190,tt0004800,john w. kellette,scenario
191,tt2144820,michael mcclendon,screenplay
192,tt2144820,jackie carpenter,novel
193,tt3117772,marco lorenzetti,story
194,tt0023000,peter b. kyne,novel
195,tt0023000,basil dickey,continuity
196,tt0023000,george h. plympton,continuity
197,tt0023000,ella o'neill,adaptation
198,tt1605065,roland gotjé,story
199,tt5646616,patrick c. johnson,story
200,tt5646616,sean johnson,screenplay
201,tt5646616,sean johnson,story
202,tt5646616,douglas weiss,screenplay
203,tt5646616,douglas weiss,story
204,tt5863634,ron nelson,story
205,tt5863634,teena booth,teleplay
206,tt5863634,alan marc levy,teleplay
207,tt0061451,maría del carmen martínez román,spanish version
208,tt0061451,harry alan towers,english version
209,tt3156558,bob kane,characters
210,tt1998234,ethan j. greene,story
211,tt1998234,ethan j. greene,written/improvised by
212,tt1998234,lily read,written/improvised by
213,tt2013233,satoru hiura,manga
214,tt1448505,mark swan,story
215,tt5152582,parker aultman,story
216,tt5152582,clint till,story
217,tt0031908,raymond l. schrock,original screen play
218,tt0031908,w.h. moran,based upon material compiled by: ex-chief of u.s. secret service
219,tt0449660,janine turner,screenplay
220,tt1494816,jon lee brody,concept
221,tt1494816,phil tyler,concept
222,tt0306496,guy crawford,screenplay
223,tt0306496,tamarie hargrove,screenplay
224,tt0306496,john scott mills,screenplay
225,tt0226021,john mccrae,poem
226,tt0066553,james e. mclarty,screenplay
227,tt0066553,george e. carey,original story
228,tt0066553,don henderson,original story
229,tt0085246,andrzej kondratiuk,script
230,tt0137527,john alderman,screenplay
231,tt0137527,harold lime,screenplay
232,tt3269580,glenn bunn,creator
233,tt3269580,lee carter,creator
234,tt3269580,saxon cave-berry,creator
235,tt3269580,tom ladds,creator
236,tt0388324,carl merz,by
237,tt0029649,john b. clymer,story
238,tt0029649,joseph o'donnell,screenplay
239,tt0029649,stanley roberts,screenplay
240,tt2448880,kim dyer,radio segment writer
241,tt1056477,michael winerip,"new york times article ""essays in search of happy endings"""
242,tt3539478,misha mazzini griffith,researcher
243,tt0091149,peter young,story adapted by
244,tt0091149,vance gerry,story adapted by
245,tt0091149,steve hulett,story adapted by
246,tt0091149,ron clements,story adapted by
247,tt0091149,john musker,story adapted by
248,tt0091149,bruce morris,story adapted by
249,tt0091149,matthew o'callaghan,story adapted by
